wavelength, flux 
472.5,1.005
472.6,1.005
472.7,0.996
472.8,1
472.9,0.998
473,0.996
473.1,0.975
473.2,0.992
473.3,1.005
473.4,0.996
473.5,1.006
473.6,0.998
473.7,0.991
473.8,1.001
473.9,1.001
474,0.992
474.1,1.008
474.2,1.005
474.3,1.006
474.4,1.011
474.5,1.008
474.6,1.003
474.7,1.012
474.8,1.01
474.9,1.013
475,1.012
475.1,1.015
475.2,1.009
475.3,1.015
475.4,1.007
475.5,1.014
475.6,1
475.7,1.012
475.8,1.013
475.9,1.015
476,1.016
476.1,1.016
476.2,1
476.3,1.007
476.4,1.003
476.5,1.007
476.6,1.011
476.7,1.007
476.8,1.015
476.9,1.018
477,1.012
477.1,1.02
477.2,1.004
477.3,1.017
477.4,1.021
477.5,1.021
477.6,0.994
477.7,1.022
477.8,1.022
477.9,1.02
478,0.989
478.1,1.019
478.2,1.021
478.3,1.013
478.4,1.018
478.5,1.021
478.6,1.016
478.7,1.014
478.8,1.023
478.9,1.013
479,1.012
479.1,1.023
479.2,1.014
479.3,1.019
479.4,1.023
479.5,1.023
479.6,1.02
479.7,1.022
479.8,1.014
479.9,1.016
480,1
480.1,1.016
480.2,1.017
480.3,1.017
480.4,1.021
480.5,0.975
480.6,1.018
480.7,1.013
480.8,1.017
480.9,1.017
481,1.015
481.1,1.009
481.2,0.997
481.3,1.011
481.4,1.014
481.5,1.001
481.6,1.009
481.7,1.006
481.8,0.999
481.9,1.007
482,1.001
482.1,1
482.2,1.001
482.3,0.992
482.4,0.94
482.5,0.987
482.6,0.984
482.7,0.979
482.8,0.979
482.9,0.969
483,0.968
483.1,0.958
483.2,0.958
483.3,0.946
483.4,0.943
483.5,0.936
483.6,0.91
483.7,0.919
483.8,0.911
483.9,0.899
484,0.88
484.1,0.879
484.2,0.866
484.3,0.852
484.4,0.84
484.5,0.825
484.6,0.809
484.7,0.791
484.8,0.747
484.9,0.752
485,0.733
485.1,0.708
485.2,0.685
485.3,0.659
485.4,0.632
485.5,0.599
485.6,0.565
485.7,0.536
485.8,0.499
485.9,0.459
486,0.411
486.1,0.283
486.2,0.351
486.3,0.43
486.4,0.469
486.5,0.512
486.6,0.546
486.7,0.581
486.8,0.612
486.9,0.64
487,0.667
487.1,0.673
487.2,0.702
487.3,0.736
487.4,0.746
487.5,0.776
487.6,0.767
487.7,0.805
487.8,0.795
487.9,0.838
488,0.852
488.1,0.863
488.2,0.871
488.3,0.884
488.4,0.885
488.5,0.891
488.6,0.906
488.7,0.911
488.8,0.925
488.9,0.924
489,0.938
489.1,0.883
489.2,0.928
489.3,0.947
489.4,0.947
489.5,0.959
489.6,0.962
489.7,0.965
489.8,0.97
489.9,0.972
490,0.964
490.1,0.976
490.2,0.967
490.3,0.957
490.4,0.976
490.5,0.984
490.6,0.985
490.7,0.986
490.8,0.984
490.9,0.988
491,0.976
491.1,0.954
491.2,0.984
491.3,0.985
491.4,0.991
491.5,0.989
491.6,0.994
491.7,0.989
491.8,0.986
491.9,0.953
492,0.964
492.1,0.969
492.2,0.988
492.3,0.996
492.4,0.912
492.5,0.984
492.6,0.992
492.7,0.995
492.8,0.999
492.9,0.999
493,0.997
493.1,0.999
493.2,0.98
493.3,0.993
493.4,0.987
493.5,0.996
493.6,0.993
493.7,0.994
493.8,0.995
493.9,0.978
494,0.981
494.1,0.995
494.2,0.996
494.3,0.997
494.4,0.998
494.5,1
494.6,0.991
494.7,0.999
494.8,0.996
494.9,0.992
495,0.998
495.1,1
495.2,0.994
495.3,0.996
495.4,0.997
495.5,0.996
495.6,1
495.7,0.962
495.8,0.938
495.9,1
496,1.002
496.1,1.002
496.2,1.001
496.3,0.999
496.4,1.002
496.5,1
496.6,0.991
496.7,1.001
496.8,0.992
496.9,1
497,0.995
497.1,0.997
497.2,1.002
497.3,0.992
497.4,1.001
497.5,1.001
497.6,1.001
497.7,0.994
497.8,1
497.9,0.99
498,0.99
498.1,0.995
498.2,0.979
498.3,0.965
498.4,0.964
498.5,0.982
498.6,0.993
498.7,1.001
498.8,1.001
498.9,0.988
499,0.998
499.1,0.983
499.2,1.001
499.3,0.978
499.4,0.981
499.5,1.002
499.6,1
499.7,0.999
499.8,1
499.9,0.995
