wavelength, flux, error 
470.7,0.685,0.034
470.8,0.821,0.041
470.9,0.793,0.04
471,0.668,0.033
471.1,0.852,0.043
471.2,0.835,0.042
471.3,0.82,0.041
471.4,0.716,0.036
471.5,0.865,0.043
471.6,0.797,0.04
471.7,0.918,0.046
471.8,0.826,0.041
471.9,0.891,0.045
472,0.961,0.048
472.1,0.849,0.042
472.2,0.823,0.041
472.3,0.767,0.038
472.4,0.806,0.04
472.5,0.902,0.045
472.6,0.915,0.046
472.7,0.697,0.035
472.8,0.716,0.036
472.9,0.764,0.038
473,0.773,0.039
473.1,0.825,0.041
473.2,0.701,0.035
473.3,0.835,0.042
473.4,0.797,0.04
473.5,0.87,0.044
473.6,0.845,0.042
473.7,0.645,0.032
473.8,0.801,0.04
473.9,0.787,0.039
474,0.779,0.039
474.1,0.864,0.043
474.2,0.77,0.039
474.3,0.793,0.04
474.4,0.877,0.044
474.5,0.779,0.039
474.6,0.784,0.039
474.7,0.913,0.046
474.8,0.837,0.042
474.9,0.921,0.046
475,0.833,0.042
475.1,0.873,0.044
475.2,0.806,0.04
475.3,0.89,0.045
475.4,0.764,0.038
475.5,0.858,0.043
475.6,0.788,0.039
475.7,0.84,0.042
475.8,0.761,0.038
475.9,0.826,0.041
476,0.874,0.044
476.1,0.823,0.041
476.2,0.702,0.035
476.3,0.814,0.041
476.4,0.715,0.036
476.5,0.832,0.042
476.6,0.72,0.036
476.7,0.777,0.039
476.8,0.78,0.039
476.9,0.798,0.04
477,0.79,0.04
477.1,0.843,0.042
477.2,0.776,0.039
477.3,0.745,0.037
477.4,0.858,0.043
477.5,0.956,0.048
477.6,0.789,0.039
477.7,0.936,0.047
477.8,0.832,0.042
477.9,0.799,0.04
478,0.845,0.042
478.1,0.861,0.043
478.2,0.761,0.038
478.3,0.719,0.036
478.4,0.861,0.043
478.5,0.849,0.042
478.6,0.752,0.038
478.7,0.725,0.036
478.8,0.865,0.043
478.9,0.65,0.033
479,0.771,0.039
479.1,0.826,0.041
479.2,0.774,0.039
479.3,0.82,0.041
479.4,0.915,0.046
479.5,0.943,0.047
479.6,0.867,0.043
479.7,0.869,0.043
479.8,0.792,0.04
479.9,0.839,0.042
480,0.806,0.04
480.1,0.792,0.04
480.2,0.807,0.04
480.3,0.886,0.044
480.4,0.913,0.046
480.5,0.75,0.038
480.6,0.846,0.042
480.7,0.818,0.041
480.8,0.833,0.042
480.9,0.771,0.039
481,0.923,0.046
481.1,0.788,0.039
481.2,0.818,0.041
481.3,0.81,0.041
481.4,0.871,0.044
481.5,0.84,0.042
481.6,0.865,0.043
481.7,0.915,0.046
481.8,0.823,0.041
481.9,0.911,0.046
482,0.82,0.041
482.1,0.846,0.042
482.2,0.878,0.044
482.3,0.767,0.038
482.4,0.725,0.036
482.5,0.884,0.044
482.6,0.865,0.043
482.7,0.837,0.042
482.8,0.903,0.045
482.9,0.805,0.04
483,0.978,0.049
483.1,0.807,0.04
483.2,0.798,0.04
483.3,0.804,0.04
483.4,0.913,0.046
483.5,0.848,0.042
483.6,0.725,0.036
483.7,0.887,0.044
483.8,0.729,0.036
483.9,0.739,0.037
484,0.539,0.027
484.1,0.766,0.038
484.2,0.816,0.041
484.3,0.728,0.036
484.4,0.723,0.036
484.5,0.906,0.045
484.6,0.81,0.041
484.7,0.824,0.041
484.8,0.893,0.045
484.9,0.829,0.041
485,0.859,0.043
485.1,0.872,0.044
485.2,0.828,0.041
485.3,0.844,0.042
485.4,0.885,0.044
485.5,0.759,0.038
485.6,0.789,0.039
485.7,0.884,0.044
485.8,0.907,0.045
485.9,0.837,0.042
486,0.701,0.035
486.1,0.578,0.029
486.2,0.711,0.036
486.3,0.88,0.044
486.4,0.667,0.033
486.5,0.788,0.039
486.6,0.805,0.04
486.7,0.906,0.045
486.8,0.741,0.037
486.9,0.863,0.043
487,0.831,0.042
487.1,0.493,0.025
487.2,0.549,0.027
487.3,0.792,0.04
487.4,0.848,0.042
487.5,0.816,0.041
487.6,0.741,0.037
487.7,0.865,0.043
487.8,0.54,0.027
487.9,0.858,0.043
488,0.882,0.044
488.1,0.844,0.042
488.2,0.677,0.034
488.3,0.932,0.047
