wavelength, flux 
494.1,0.968
494.2,0.947
494.3,0.956
494.4,0.979
494.5,0.982
494.6,0.902
494.7,0.984
494.8,0.972
494.9,0.957
495,0.961
495.1,0.988
495.2,0.99
495.3,0.96
495.4,0.987
495.5,0.937
495.6,0.981
495.7,0.857
495.8,0.826
495.9,0.992
496,0.996
496.1,0.996
496.2,0.984
496.3,0.958
496.4,0.997
496.5,0.964
496.6,0.917
496.7,0.991
496.8,0.912
496.9,0.978
497,0.93
497.1,0.956
497.2,0.989
497.3,0.928
497.4,0.993
497.5,0.984
497.6,0.983
497.7,0.977
497.8,0.977
497.9,0.899
498,0.91
498.1,0.948
498.2,0.843
498.3,0.823
498.4,0.836
498.5,0.897
498.6,0.908
498.7,0.98
498.8,0.978
498.9,0.92
499,0.993
499.1,0.878
499.2,0.996
499.3,0.937
499.4,0.878
499.5,0.996
499.6,0.977
499.7,0.958
499.8,0.957
499.9,0.936
