Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
223.00,5.03,0.11,29.9,98.0
224.00,8.41,1.12,52.0,87.0
225.00,8.85,0.94,47.5,110.0
226.00,6.46,0.86,28.3,127.0
227.00,5.52,0.34,33.1,117.0
228.00,5.21,0.16,13.3,186.0
229.00,7.68,0.72,3.8,90.0
231.00,10.56,1.28,45.0,150.0
232.00,5.37,0.88,31.6,161.0
233.00,3.45,1.16,33.3,32.0
234.00,4.25,-0.07,0.9,94.0
235.00,5.29,-0.02,15.5,98.0
236.00,6.74,1.17,2.6,150.0
238.00,2.06,1.58,47.7,79.0
239.00,9.10,0.79,39.7,150.0
240.01,5.65,0.60,30.3,96.0
241.00,4.33,0.17,8.7,64.0
243.00,5.81,-0.10,2.1,72.0
244.00,4.66,1.03,13.6,79.0
245.00,4.51,1.09,22.2,94.0
246.00,9.80,1.56,120.5,101.0
246.01,12.89,1.62,62.8,18.0
248.01,12.05,1.86,268.8,32.0
249.00,7.93,1.53,14.5,141.0
250.00,4.65,1.04,5.9,99.0
250.01,14.76,1.81,71.6,27.0
251.00,5.24,0.32,23.3,95.0
253.00,5.13,0.46,57.4,66.0
254.00,5.70,0.42,27.9,77.0
254.01,15.50,1.50,28.2,68.0
255.00,8.47,0.56,42.0,150.0
257.00,4.96,0.58,64.8,110.0
257.01,15.03,1.82,48.1,45.0
259.00,9.05,0.76,47.5,150.0
260.10,5.41,0.90,16.3,111.0
261.00,7.20,0.93,27.5,110.0
261.00,7.69,0.94,27.5,110.0
262.00,6.52,0.56,37.4,97.0
263.00,9.66,1.29,40.9,120.0
264.00,4.95,0.45,53.3,98.0
264.00,4.86,0.47,53.3,98.0
266.00,5.16,0.07,12.3,61.0
267.00,9.78,1.00,57.1,67.0
267.01,13.83,0.14,64.9,30.0
268.10,11.76,1.47,45.8,92.0
269.00,7.98,0.81,47.3,84.0
269.10,11.56,1.43,45.6,150.0
270.00,7.11,0.82,41.7,95.0
272.00,8.34,0.79,28.8,150.0
273.00,4.76,0.03,16.6,111.0
274.00,8.90,0.59,25.5,51.0
275.00,7.64,1.03,28.0,208.0
275.01,11.34,1.32,43.1,120.0
276.00,10.36,1.34,34.8,80.0
277.02,10.64,1.14,40.3,160.0
277.03,12.17,0.75,0.3,120.0
278.00,8.50,0.92,19.1,150.0
279.00,4.88,1.08,14.8,19.0
281.00,6.96,0.62,37.0,96.0
282.00,10.15,1.40,63.3,150.0
282.10,9.65,0.97,24.9,150.0
282.10,9.46,1.04,24.9,150.0
282.11,13.61,1.76,69.4,40.0
283.00,7.85,0.90,38.4,69.0
284.01,17.10,0.82,32.1,55.0
284.03,10.10,1.02,20.4,120.0
285.00,4.74,1.05,12.6,101.0
285.01,11.34,1.32,15.2,120.0
285.02,9.57,1.02,31.2,120.0
286.00,3.60,1.06,35.5,26.0
287.00,2.68,0.13,34.3,55.0
287.01,5.91,0.41,29.3,60.0
289.00,8.50,0.88,55.2,145.0
289.10,10.30,1.06,11.4,97.0
290.00,9.46,1.01,26.9,106.0
291.00,8.31,0.69,23.6,150.0
292.10,13.12,1.67,31.5,178.0
293.00,4.90,1.23,5.8,137.0
294.00,5.38,0.39,36.8,72.0
296.00,5.50,1.11,14.0,72.0
297.00,6.41,1.24,22.0,149.0
298.00,4.83,0.42,27.0,63.0
298.20,7.93,0.74,24.0,86.0
299.00,2.02,0.60,3.3,40.0
302.00,7.73,0.95,46.8,48.0
303.00,5.81,0.47,37.8,125.0
306.00,5.27,1.00,14.6,84.0
306.01,14.38,0.26,28.4,31.0
308.00,5.12,0.02,26.6,161.0
309.00,4.84,1.37,15.8,74.0
312.10,10.64,1.21,17.9,150.0
313.00,10.66,1.12,16.4,150.0
314.00,3.62,0.97,13.9,55.0
317.00,3.95,0.99,29.4,149.0
317.01,10.73,1.17,35.3,150.0
318.00,6.53,0.68,46.9,71.0
319.00,4.71,1.00,19.2,73.0
319.10,11.21,1.49,29.2,109.0
321.00,5.88,-0.07,17.1,159.0
322.00,6.97,0.76,70.0,98.0
323.00,5.51,1.02,6.2,149.0
323.01,5.76,0.64,16.5,103.0
324.00,9.56,0.52,38.8,139.0
325.00,9.66,0.75,34.0,110.0
326.00,6.90,0.53,7.1,149.0
326.01,10.99,1.30,40.6,120.0
327.00,8.93,1.69,20.3,162.0
328.00,7.78,0.92,67.1,81.0
328.00,7.09,0.94,67.1,81.0
329.00,5.28,0.96,18.4,98.0
331.00,4.09,0.54,56.8,41.0
332.00,7.17,0.70,22.2,106.0
332.01,14.16,0.17,14.9,20.0
333.00,6.01,0.38,9.9,127.0
334.00,11.19,1.39,86.2,111.0
335.00,3.57,1.28,20.9,16.0
336.00,8.13,0.84,41.4,106.0
336.02,10.74,1.14,78.0,120.0
337.00,6.24,0.53,25.2,98.0
337.10,10.10,0.53,14.1,106.0
338.01,12.20,0.85,8.7,120.0
339.00,8.66,0.83,23.2,92.0
