RA (deg), DEC (deg), R (mag),observed wavelength (nm)
194.99061,28.24666,13.34,670.972
195.01251,28.24031,16.24,673.149
195.02565,28.25218,17.18,670.217
194.81243,28.25102,16.05,672.565
194.85894,28.28754,15.86,673.798
194.59044,28.14875,14.52,673.536
194.59232,28.15213,15.19,670.906
194.62899,28.23362,15.99,672.231
194.55751,28.18255,14.51,672.008
194.68294,28.28267,16.35,672.992
194.72321,28.28899,17.21,673.464
194.62296,28.30112,15.81,669.22
194.52328,28.24259,13.74,672.034
194.59876,28.32881,16.85,674.205
194.63453,28.37797,17.18,669.168
194.5243,28.37096,15.69,672.992
194.83755,28.44148,16.91,670.657
194.84647,28.4886,15.81,671.614
194.73376,28.46363,15.55,669.234
194.70392,28.54,17.19,670.053
195.1282,28.34636,13.58,669.332
195.12231,28.45564,17.38,672.119
195.1828,28.41633,16.1,670.027
195.00764,28.43482,16.21,674.002
195.05924,28.45807,17.75,673.418
194.92211,28.5072,15.01,674.323
194.89863,28.55137,14.96,672.893
194.56361,27.4647,17.74,672.981
194.72412,27.38864,17.52,673.044
194.86024,27.85688,17.55,667.254
194.7349,27.80357,17.53,673.504
195.21377,27.68916,17.64,674.204
195.1184,27.76122,17.5,671.253
195.44246,27.9578,15.16,666.595
195.21476,28.04287,13.6,675.438
194.89987,27.90611,17.64,676.107
195.07367,27.95526,13.77,671.393
194.84741,27.9116,13.45,671.393
195.16058,28.01606,16.2,672.913
195.17734,28.11631,17.02,669.877
195.0821,28.12152,17.7,670.868
195.54977,28.17322,16.36,675.88
194.62948,27.8955,17.68,671.185
194.56269,28.12591,14.63,672.55
194.86957,28.08578,16.59,664.285
194.91736,28.17935,17.32,668.194
195.16951,28.51989,15.87,675.772
