time (years),flux (solar flux units)
2008.682,65.200
2008.685,65.800
2008.688,66.600
2008.690,67.100
2008.693,67.100
2008.696,67.200
2008.699,66.900
2008.701,66.300
2008.704,66.400
2008.707,66.800
2008.710,67.500
2008.712,69.400
2008.715,67.100
2008.718,67.200
2008.721,67.900
2008.723,67.800
2008.726,67.900
2008.729,69.100
2008.732,69.400
2008.734,68.400
2008.737,68.200
2008.740,67.700
2008.743,67.300
2008.745,67.000
2008.748,66.800
2008.751,66.200
2008.753,65.800
2008.756,66.300
2008.759,67.200
2008.762,66.600
2008.764,67.400
2008.767,67.200
2008.770,66.700
2008.773,67.700
2008.775,68.700
2008.778,68.900
2008.781,70.800
2008.784,70.100
2008.786,70.900
2008.789,70.400
2008.792,70.900
2008.795,71.900
2008.797,70.000
2008.800,69.200
2008.803,69.600
2008.806,69.200
2008.808,68.800
2008.811,67.700
2008.814,67.200
2008.816,67.500
2008.819,67.500
2008.822,66.900
2008.825,67.000
2008.827,67.100
2008.830,66.700
2008.833,66.800
2008.836,68.100
2008.838,66.700
2008.841,69.100
2008.844,69.500
2008.847,68.000
2008.849,67.700
2008.852,68.600
2008.855,67.800
2008.858,68.300
2008.860,68.400
2008.863,69.300
2008.866,71.400
2008.869,70.900
2008.871,69.100
2008.874,68.300
2008.877,68.200
2008.880,67.700
2008.882,67.700
2008.885,69.800
2008.888,69.400
2008.890,69.600
2008.893,68.500
2008.896,69.000
2008.899,69.000
2008.901,67.900
2008.904,67.700
2008.907,68.300
2008.910,68.200
2008.912,67.000
2008.915,68.200
2008.918,68.400
2008.921,68.100
2008.923,68.900
2008.926,69.200
2008.929,69.600
2008.932,68.800
2008.934,69.100
2008.937,69.000
2008.940,68.500
2008.943,68.700
2008.945,70.800
2008.948,70.200
2008.951,71.000
2008.953,69.700
2008.956,68.800
2008.959,68.900
2008.962,69.400
2008.964,68.800
2008.967,68.400
2008.970,69.200
2008.973,69.100
2008.978,67.700
2008.981,68.600
2008.984,69.400
2008.986,69.300
2008.989,69.200
2008.992,69.400
2008.995,69.800
2008.997,69.800
2009.000,68.500
2009.003,69.300
2009.003,68.900
2009.006,69.900
2009.008,69.500
2009.011,68.800
2009.014,69.200
2009.016,68.700
2009.019,69.000
2009.022,68.700
2009.025,69.700
2009.027,70.900
2009.030,70.000
2009.033,69.300
2009.036,70.500
2009.038,71.200
2009.041,71.100
2009.044,70.800
2009.047,71.900
2009.049,71.100
2009.052,70.800
2009.055,70.400
2009.058,69.400
2009.060,69.000
2009.063,70.000
2009.066,68.800
2009.069,69.800
2009.071,69.900
2009.074,69.700
2009.077,69.500
2009.080,69.300
2009.082,69.100
2009.085,69.400
2009.088,69.500
2009.090,69.100
2009.093,69.300
2009.096,69.500
2009.099,70.100
2009.101,70.100
